CED_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
CED201,19978,1283,535,151,13,4,50,22010
CED202,13823,1227,736,146,23,9,80,16046
CED203,13687,1225,689,125,19,8,82,15832
CED204,21839,1268,618,268,19,13,68,24093
CED205,25944,1112,552,308,24,11,52,28006
CED206,18182,1562,770,156,20,8,67,20774
CED207,22195,892,291,147,3,3,34,23569
CED208,16006,754,268,89,6,0,40,17157
CED209,16059,1273,615,99,10,0,67,18123
CED210,15100,1222,579,113,14,11,54,17103
CED211,20477,1139,456,128,15,0,47,22254
CED212,16441,1549,782,132,28,10,67,19010
CED213,13363,1289,590,72,14,8,70,15419
CED214,17024,1053,447,283,18,10,84,18920
CED215,25744,1278,587,203,23,8,52,27896
CED216,12137,1322,742,119,21,17,123,14481
CED217,19601,995,328,58,3,0,21,21007
CED218,24047,1293,667,332,35,18,63,26459
CED219,18832,1526,944,218,34,14,107,21668
CED220,14849,630,197,38,0,0,21,15741
CED221,24803,1656,968,387,38,24,82,27957
CED222,21830,1188,490,315,32,17,77,23957
CED223,13088,1261,709,121,26,7,110,15325
CED224,19790,1172,468,119,3,4,34,21595
CED225,20007,998,382,73,3,0,34,21500
CED226,19943,814,259,90,8,0,31,21143
CED227,21806,1608,932,212,21,7,87,24674
CED228,26196,1515,825,404,36,13,103,29098
CED229,12014,784,189,35,9,0,15,13047
CED230,13482,1209,766,145,27,11,133,15773
CED231,17311,827,289,84,8,0,38,18564
CED232,20772,1469,799,180,22,13,57,23308
CED233,9669,571,147,39,10,4,18,10461
CED234,22356,992,345,130,16,5,52,23882
CED235,12271,1227,735,112,24,9,104,14473
CED236,13628,1267,766,161,29,8,113,15964
CED237,21951,1052,518,242,15,5,66,23851
CED238,13221,1094,605,93,17,0,107,15142
CED239,16015,651,241,96,4,4,29,17037
CED294,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0
