CED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
CED201,40,2000,797,400,2194,0.8,1884,2.7
CED202,41,1500,734,295,1876,0.7,1445,2.4
CED203,42,1452,732,300,1860,0.7,1433,2.4
CED204,37,1800,691,350,1879,0.9,1672,2.9
CED205,32,1834,623,369,1768,0.9,1681,3.2
CED206,40,1950,809,380,2204,0.8,1884,2.7
CED207,39,2400,734,440,2218,0.8,1832,2.6
CED208,37,2100,888,381,2390,0.9,1845,2.4
CED209,40,1820,812,400,2161,0.7,1804,2.6
CED210,39,1700,763,320,2039,0.8,1530,2.4
CED211,40,2070,832,392,2308,0.8,1878,2.6
CED212,40,1898,819,360,2169,0.8,1718,2.5
CED213,48,1949,745,375,1964,0.7,1479,2.3
CED214,36,1850,717,350,1886,0.9,1634,2.6
CED215,35,2100,936,392,2422,0.8,2159,2.8
CED216,46,1300,644,250,1598,0.7,1238,2.3
CED217,43,2800,1068,490,3194,0.8,2377,2.5
CED218,35,1900,742,380,2065,0.9,1927,3.1
CED219,35,1733,777,341,2008,0.8,1738,2.8
CED220,37,2450,1218,420,3179,0.9,2201,2.2
CED221,33,1900,788,380,1988,0.9,1888,3.1
CED222,37,2000,695,383,1892,0.9,1672,2.7
CED223,45,1408,736,270,1794,0.7,1367,2.3
CED224,40,2167,891,406,2440,0.8,1966,2.6
CED225,41,2167,929,400,2583,0.8,2109,2.6
CED226,40,2936,1058,451,3113,0.8,2333,2.5
CED227,34,2000,852,375,2170,0.8,1976,2.9
CED228,32,1814,801,355,2033,0.8,1891,3
CED229,36,2167,1241,421,2963,0.9,2072,2
CED230,45,1083,662,230,1590,0.7,1220,2.3
CED231,39,2167,931,387,2515,0.8,1956,2.4
CED232,36,2000,881,381,2303,0.8,2094,2.9
CED233,31,2100,1055,400,2622,1,1840,1.9
CED234,42,2383,769,441,2272,0.8,1917,2.7
CED235,46,1500,663,290,1676,0.7,1283,2.3
CED236,43,1300,684,255,1682,0.8,1325,2.4
CED237,36,1815,694,369,1872,0.8,1671,2.9
CED238,46,1300,717,250,1770,0.7,1339,2.3
CED239,35,2032,906,400,2382,0.9,1927,2.4
CED294,0,0,0,0,0,0,0,0
CED297,50,0,2200,0,0,0,0,0
