CED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
CED201,8,5,0,0,4837,4843,42,5,0,0,4987,5036,2819,73,97,5,7043,10030,7257,324,460,17,2820,10879,6921,459,915,55,2010,10352,7082,397,1192,130,1029,9838,5767,240,819,314,382,7519,3011,89,374,467,117,4047,734,23,79,453,37,1333,33647,1596,3934,1443,23255,63878,8,3,0,0,4470,4472,104,9,4,3,4512,4627,3830,156,221,13,5982,10190,7817,444,695,35,2418,11402,7218,620,1487,155,1719,11196,7044,487,1898,441,819,10687,5212,289,1466,1189,333,8477,2278,78,609,1777,108,4851,399,21,121,1621,47,2203,33891,2101,6487,5228,20404,68114,14,4,0,0,9302,9314,144,10,3,3,9499,9661,6643,227,315,20,13019,20219,15079,767,1154,53,5234,22280,14139,1070,2403,212,3729,21548,14130,883,3084,574,1850,20530,10979,529,2282,1501,711,15998,5286,163,984,2236,222,8898,1126,46,203,2073,85,3540,67538,3701,10426,6673,43659,131987
CED202,7,0,0,0,4651,4658,74,11,4,8,4231,4316,2404,130,108,6,6713,9358,4949,357,479,17,3014,8812,5321,540,1128,60,2418,9467,5585,480,1431,162,1662,9326,5459,372,1325,367,801,8333,2805,132,490,544,234,4196,698,18,69,463,55,1302,27304,2038,5033,1619,23784,59771,3,0,0,0,4440,4447,160,19,6,0,4130,4314,3078,201,168,17,6067,9530,5407,519,725,57,3030,9741,5467,666,1578,176,2271,10156,5604,587,2077,475,1431,10173,5059,361,1814,1176,626,9040,2156,84,585,1762,205,4783,390,15,119,1635,86,2237,27333,2449,7060,5308,22290,64432,12,3,0,0,9088,9108,234,26,6,3,8358,8630,5485,331,271,26,12779,18890,10364,875,1206,72,6046,18557,10783,1206,2701,240,4691,19622,11192,1065,3514,638,3098,19499,10521,732,3139,1553,1425,17372,4959,215,1071,2301,436,8981,1085,36,186,2094,140,3545,54629,4485,12097,6920,46070,124204
CED203,0,0,0,0,4297,4299,77,9,4,4,4087,4179,2395,146,102,15,6278,8944,4855,354,443,18,3055,8722,5094,524,1115,65,2437,9235,5602,510,1590,190,1615,9512,5754,416,1439,404,866,8881,3205,147,576,582,252,4757,874,19,81,543,79,1597,27864,2130,5352,1819,22958,60122,0,0,0,0,4207,4209,131,20,0,8,3949,4100,3064,237,186,20,5933,9431,5150,519,696,48,3096,9522,5207,594,1601,167,2319,9882,5904,583,2222,502,1407,10611,5293,390,1907,1190,694,9476,2498,86,729,1731,243,5283,460,19,163,1725,94,2462,27707,2445,7506,5398,21928,64985,6,0,0,3,8499,8508,214,23,6,9,8029,8279,5456,389,290,33,12209,18378,10005,874,1143,70,6153,18254,10295,1116,2717,229,4760,19119,11505,1089,3812,698,3014,20117,11052,806,3347,1597,1559,18353,5701,235,1306,2307,495,10043,1334,42,243,2272,169,4060,55573,4573,12858,7217,44885,125110
CED204,4,4,5,3,5723,5740,176,3,3,3,6282,6468,4897,194,234,13,8486,13825,8511,412,667,31,3023,12645,7867,500,1070,58,1920,11413,7432,500,1266,169,1110,10483,5508,325,860,320,419,7428,2725,117,380,462,124,3811,747,24,53,362,25,1206,37855,2082,4539,1427,27117,73021,12,6,0,0,5321,5335,461,26,14,3,5252,5754,6106,306,326,30,5891,12655,8492,561,978,100,2218,12359,7574,615,1592,244,1497,11519,6949,549,1861,665,815,10833,4688,331,1267,1308,298,7902,1893,85,482,1687,91,4243,375,27,120,1442,43,2004,36556,2496,6644,5470,21433,72599,15,5,3,3,11051,11078,640,31,19,10,11536,12226,11008,501,562,42,14378,26482,17004,972,1646,133,5241,25001,15439,1113,2660,303,3420,22936,14380,1052,3128,833,1927,21311,10196,659,2132,1627,722,15323,4619,204,865,2148,217,8050,1121,44,170,1805,62,3212,74412,4585,11184,6898,48553,145620
CED205,13,0,3,0,6141,6156,269,8,0,0,6641,6921,6553,271,290,6,8822,15946,11160,569,647,31,2670,15078,7501,545,973,56,1432,10505,6405,486,1033,177,878,8984,3880,228,550,218,251,5122,1756,75,161,268,82,2339,332,8,23,206,18,580,37859,2201,3689,968,26920,71640,21,0,0,4,5845,5868,737,45,28,0,5615,6423,9359,505,431,25,5979,16294,10644,798,978,78,2141,14649,7166,742,1491,251,1291,10941,5607,529,1390,689,710,8934,3140,238,734,1209,210,5535,1010,56,235,1249,60,2609,147,8,36,699,9,901,37830,2931,5319,4203,21867,72154,35,3,3,6,11990,12026,1003,55,27,0,12258,13349,15909,778,714,31,14799,32238,21803,1372,1634,114,4810,29729,14665,1290,2460,308,2719,21444,12013,1019,2426,868,1583,17912,7016,474,1286,1425,459,10657,2760,130,399,1516,139,4948,480,17,62,898,28,1482,75688,5133,9011,5171,48790,143794
CED206,0,5,4,0,4978,4981,48,5,3,0,4476,4532,2925,81,104,3,6432,9543,6102,297,489,15,3047,9954,6505,548,1107,59,2373,10587,6541,415,1461,167,1363,9948,5640,309,1043,328,527,7844,3012,110,442,447,163,4168,644,17,75,332,30,1095,31410,1786,4727,1356,23387,62660,3,0,0,0,4570,4578,92,0,3,3,4133,4227,3717,177,161,18,5660,9727,6606,440,738,49,2776,10610,6707,654,1650,154,1961,11120,6556,541,2054,443,943,10537,5273,278,1623,1079,392,8648,2160,109,623,1451,115,4451,334,14,101,1109,39,1599,31448,2214,6952,4296,20581,65494,0,6,0,0,9549,9563,135,5,7,4,8610,8754,6640,261,265,24,12084,19271,12713,735,1231,66,5820,20562,13207,1204,2755,206,4336,21712,13097,956,3514,613,2303,20483,10907,589,2670,1404,923,16491,5168,218,1064,1888,277,8622,978,30,169,1442,73,2699,62858,3996,11674,5653,43972,128156
CED207,7,0,0,0,5754,5761,106,4,4,0,8177,8295,3623,86,186,9,9827,13741,8393,251,507,21,2578,11753,8272,384,730,59,1704,11141,7049,295,928,120,1119,9511,5791,197,649,249,564,7450,4310,108,338,556,191,5505,1650,42,74,742,67,2583,39194,1369,3416,1759,29989,75730,3,0,0,0,5559,5557,163,10,10,0,6994,7176,4629,149,262,17,7271,12312,9371,352,729,36,2012,12505,8808,505,1315,136,1537,12293,6978,395,1556,435,976,10334,5774,228,1253,1065,546,8859,3547,108,641,2471,228,6996,846,16,186,2643,126,3826,40113,1758,5951,6807,25244,79864,10,0,0,0,11308,11321,266,13,9,4,15167,15469,8247,229,450,23,17102,26052,17767,604,1233,59,4592,24258,17079,886,2045,192,3236,23436,14029,691,2486,551,2093,19846,11566,426,1898,1311,1108,16313,7855,214,982,3024,419,12503,2495,61,260,3388,202,6401,79306,3130,9366,8561,55233,155599
CED208,0,0,0,0,3549,3557,54,8,0,0,4919,4988,2836,118,134,12,11412,14509,6008,321,631,16,5406,12381,5700,465,954,58,3326,10504,4180,388,1106,110,1987,7781,3006,267,777,241,870,5166,2210,115,326,434,253,3340,911,30,65,500,77,1582,24918,1715,4001,1367,31802,63802,14,0,0,0,3511,3526,181,12,9,0,4655,4858,3736,170,259,9,11135,15305,6179,438,803,49,5449,12931,5661,522,1322,134,3381,11015,4108,449,1517,343,1997,8417,2910,236,1082,960,763,5953,1712,79,456,1842,215,4310,392,18,120,1892,70,2486,24900,1927,5570,5225,31183,68799,13,0,0,0,7062,7078,235,18,9,0,9578,9849,6568,286,389,15,22551,29817,12192,759,1438,65,10858,25311,11360,996,2269,185,6703,21520,8292,839,2625,457,3988,16198,5917,500,1865,1199,1634,11117,3924,195,783,2271,469,7645,1306,50,187,2389,145,4071,49819,3644,9564,6593,62989,132603
CED209,0,0,0,0,4277,4278,41,0,0,0,4320,4366,2565,100,90,3,6220,8983,6089,287,500,22,2552,9459,5870,422,957,51,1582,8885,5827,382,1091,133,868,8305,6728,262,999,324,442,8765,3544,86,354,537,107,4636,871,19,78,467,49,1477,31546,1568,4078,1545,20421,59157,0,0,0,0,4194,4195,78,7,0,3,4066,4152,3421,169,148,9,5584,9334,6541,447,721,51,2703,10463,5968,575,1404,137,1564,9645,6072,488,1784,416,962,9722,6401,267,1465,1018,454,9605,2729,97,595,1581,164,5172,482,17,110,1686,62,2362,31695,2070,6234,4898,19750,64658,0,0,0,0,8470,8476,121,9,0,3,8389,8523,5991,271,243,18,11804,18315,12630,735,1229,75,5260,19922,11834,999,2359,190,3141,18524,11900,873,2879,552,1829,18027,13134,533,2466,1340,896,18371,6272,185,951,2121,279,9805,1353,39,182,2155,106,3841,63240,3642,10311,6449,40170,123811
CED210,10,4,0,5,4666,4681,92,5,4,6,5189,5299,3169,132,137,8,8623,12069,5611,393,532,22,3469,10028,5427,561,1140,55,2573,9760,5388,518,1452,171,1598,9128,4958,310,1138,360,653,7424,2792,119,434,482,200,4026,773,32,65,529,46,1443,28239,2069,4903,1637,27017,63867,7,3,3,0,4367,4384,177,17,3,0,4902,5103,3784,235,193,12,7489,11713,5779,530,738,85,3349,10485,5552,690,1607,213,2313,10375,5406,541,2155,531,1229,9860,4618,316,1777,1255,526,8487,2173,78,705,1966,159,5086,382,18,121,1762,52,2330,27871,2431,7299,5816,24385,67806,15,9,3,3,9034,9064,274,20,10,4,10090,10402,6958,371,326,19,16111,23778,11394,922,1270,107,6816,20514,10977,1248,2746,271,4886,20133,10790,1058,3610,703,2828,18988,9573,630,2915,1614,1179,15914,4970,192,1139,2450,364,9111,1156,46,190,2292,101,3776,56105,4503,12203,7462,51402,131674
