CED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED201,27,252,2944,22174,17530,3866,609,455,47854,9,372,2675,1468,356,38,8,99,5021,0,37,956,1530,335,46,9,15,2931,9,408,3634,2998,686,83,21,117,7959,12,147,321,170,0,0,6,17,671,0,89,258,23,0,0,0,7,385,0,61,169,15,0,0,0,3,243,0,79,85,3,0,0,0,0,170,0,16,21,6,8,6,0,0,56,15,388,859,219,6,6,4,34,1531,0,5,24,12,10,0,0,0,47,0,8,6,9,7,0,0,3,37,45,1060,7463,25413,18239,3960,638,603,57422
CED202,79,661,5988,25779,16319,2145,375,598,51946,6,805,2309,1414,274,23,6,113,4956,8,45,200,235,71,5,4,12,584,18,847,2510,1654,343,31,15,123,5537,5,319,555,201,9,0,3,29,1123,0,16,48,18,8,0,0,0,88,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,16,12,338,606,224,18,3,3,32,1234,15,71,66,41,22,0,4,10,226,3,22,7,26,27,7,7,3,101,114,1941,9181,27725,16723,2184,401,768,59035
CED203,81,811,7157,26925,16197,2152,426,660,54416,16,556,1995,606,51,7,0,76,3322,0,42,178,219,38,0,0,6,486,22,606,2170,826,87,10,5,87,3804,11,90,221,73,5,0,0,9,418,0,0,3,9,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,0,0,22,11,97,234,82,11,3,0,19,456,30,69,66,69,24,4,4,9,279,7,23,29,25,26,3,0,3,109,149,1612,9656,27928,16347,2172,431,777,59059
CED204,48,241,2412,23559,17120,3424,645,658,48108,3,394,2813,1508,411,51,7,134,5329,3,24,613,1192,430,109,18,37,2433,7,425,3428,2697,842,160,30,178,7758,4,182,1459,219,14,3,0,67,1955,0,38,215,21,0,0,0,8,284,0,17,74,13,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,8,10,3,6,0,0,4,33,9,243,1759,261,19,10,5,78,2378,0,50,50,11,0,0,0,0,117,0,10,15,18,10,0,0,9,57,71,965,7664,26540,17983,3596,675,929,58429
CED205,40,252,1684,21677,20881,3104,450,859,48957,6,125,711,1260,273,15,3,61,2460,4,38,1032,1249,189,15,4,54,2583,4,161,1742,2510,468,32,8,116,5039,0,79,427,475,31,11,3,22,1045,0,0,0,0,0,0,0,0,0,17,21,70,17,0,0,0,3,128,0,0,0,0,0,0,0,0,0,0,12,3,5,0,0,0,0,29,14,111,506,498,29,12,5,25,1208,7,89,12,4,5,0,0,7,115,0,8,5,24,11,8,0,5,58,72,627,3946,24715,21390,3155,461,1009,55380
CED206,88,713,4776,25369,16601,3790,919,530,52796,10,384,1167,437,34,3,3,31,2067,0,58,390,355,30,3,0,14,849,10,444,1560,787,62,7,3,38,2919,0,73,114,41,6,0,5,3,245,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,8,3,4,0,0,50,0,101,143,46,10,10,5,5,313,17,94,61,17,6,0,0,4,216,0,6,19,28,8,6,3,0,71,115,1366,6556,26252,16692,3814,930,581,56307
CED207,30,193,2627,18223,17022,4875,832,442,44246,16,287,2593,1784,534,87,21,87,5407,16,58,707,2181,1473,159,33,33,4662,31,344,3305,3966,2012,240,52,123,10072,99,669,2122,2574,542,46,8,82,6147,40,458,993,124,5,0,0,25,1640,25,761,1340,123,13,0,0,42,2304,3,303,894,49,4,0,4,18,1263,0,17,7,4,10,4,0,0,49,170,2206,5360,2871,564,53,14,161,11399,0,0,12,9,0,0,0,0,28,0,11,16,11,9,0,0,3,47,235,2756,11321,25083,19604,5174,900,728,65793
CED208,37,398,6274,18739,7766,1440,299,391,35348,11,1062,5130,2108,253,34,10,154,8759,10,724,3765,3074,452,36,6,76,8158,24,1786,8894,5188,705,71,16,231,16920,53,1978,2285,314,38,8,4,59,4744,57,543,787,110,13,0,0,25,1542,37,951,1886,137,4,0,3,27,3042,7,230,187,10,0,0,0,4,440,4,12,6,10,6,4,0,0,32,161,3713,5160,590,54,12,9,105,9802,12,77,160,79,20,8,3,3,356,5,10,16,3,3,0,0,10,45,236,5985,20511,24592,8545,1539,327,745,62474
CED209,32,246,3758,22722,20993,2593,481,517,51352,17,221,1549,738,208,13,0,67,2802,5,34,183,489,118,7,4,9,855,18,258,1724,1225,324,21,3,81,3656,0,7,92,100,3,0,0,5,204,0,13,18,7,0,0,0,0,37,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,17,0,27,115,105,6,0,0,8,260,17,83,64,32,10,3,0,5,215,0,4,11,19,19,0,10,7,70,69,620,5685,24100,21346,2621,496,616,55553
CED210,47,532,6399,27897,13254,2050,365,638,51184,20,1510,3420,1180,129,17,10,133,6422,3,126,584,675,134,12,0,15,1551,28,1635,4004,1857,257,28,7,152,7973,20,519,918,258,17,0,4,37,1774,5,52,93,4,0,0,0,5,163,5,80,184,26,0,0,0,4,300,0,20,68,44,6,0,4,0,134,0,4,8,4,0,0,0,0,11,23,675,1274,338,27,0,3,45,2382,20,96,144,59,34,3,0,6,367,0,20,25,29,10,3,0,5,88,123,2963,11840,30174,13582,2088,376,842,61989
