CED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED201,2502,3803,8317,9135,9026,6845,1504,98,3,41227,1855,666,1543,1929,1925,3603,6711,4444,1927,24592,118,156,336,343,247,240,261,304,272,2296,4472,4627,10190,11402,11196,10687,8477,4851,2203,68114,520,3339,11195,12264,11689,8572,1527,79,6,49186,3121,3466,4117,5108,5111,4591,1771,202,7,27487,398,392,911,714,537,564,227,21,0,3778,47,123,271,242,200,139,51,7,5,1081,4084,7322,16499,18322,17536,13869,3577,310,12,81521,95,286,425,325,330,303,33,0,0,1799,705,314,223,246,194,211,73,3,0,1978,801,602,646,577,520,515,109,8,0,3777,4887,7923,17147,18894,18057,14385,3690,316,13,85303,4195,1432,2343,2690,2939,5658,11826,8056,3106,42245,242,310,737,693,559,482,482,524,414,4445,9314,9661,20219,22280,21548,20530,15998,8898,3540,131987
CED202,2547,3358,7350,7569,7818,6220,1429,136,17,36441,1668,717,1646,1707,1871,3507,7149,4227,1848,24333,237,238,527,468,472,455,469,425,374,3663,4447,4314,9530,9741,10156,10173,9040,4783,2237,64432,897,3039,8937,8940,9661,6671,1247,131,13,39543,2996,2808,4426,4815,4604,4581,1779,233,20,26267,425,388,949,645,561,804,271,40,5,4083,103,117,244,164,210,138,69,25,9,1083,4427,6350,14564,14564,15040,12195,3361,428,44,70971,140,252,446,316,306,254,28,0,0,1742,444,207,255,206,182,190,67,7,0,1549,584,459,697,522,488,440,93,6,0,3292,5015,6809,15262,15082,15529,12635,3456,434,48,74265,3638,1316,2561,2560,3094,5921,12954,7789,2935,42765,458,506,1064,914,1006,946,960,763,562,7178,9108,8630,18890,18557,19622,19499,17372,8981,3545,124204
CED203,2486,3150,7223,7429,7660,6508,1590,147,14,36220,1505,742,1669,1590,1717,3570,7402,4678,2045,24924,215,210,539,502,508,524,480,461,400,3839,4209,4100,9431,9522,9882,10611,9476,5283,2462,64985,779,3026,8666,8557,9339,6577,1275,126,7,38357,3064,2545,4266,4903,4570,4910,1968,272,21,26527,361,349,914,645,564,858,290,31,0,4006,90,124,229,194,185,160,60,35,9,1097,4299,6039,14080,14308,14662,12502,3599,460,39,69986,122,226,339,251,256,215,35,0,0,1443,469,185,221,147,174,228,71,7,0,1504,590,418,564,401,431,444,107,7,3,2949,4883,6462,14637,14709,15089,12943,3701,465,42,72938,3191,1389,2666,2541,2960,6108,13661,8763,3407,44675,434,436,1071,1005,1072,1067,986,811,611,7495,8508,8279,18378,18254,19119,20117,18353,10043,4060,125110
CED204,2412,4155,8660,8451,7935,5888,1209,86,0,38806,2675,1283,3175,3233,2992,4484,6281,3821,1789,29737,249,309,821,672,589,461,408,331,209,4063,5335,5754,12655,12359,11519,10833,7902,4243,2004,72599,580,3712,12057,11772,10806,7879,1418,85,5,48308,2784,3850,5273,5274,4683,4033,1371,146,6,27422,304,403,827,607,513,499,185,22,3,3365,53,225,551,386,282,181,48,19,0,1751,3721,8188,18705,18036,16294,12600,3021,272,14,80845,154,467,818,567,503,397,43,0,0,2958,897,457,388,323,265,260,70,6,0,2675,1058,922,1206,894,770,655,114,8,0,5631,4778,9113,19909,18935,17065,13252,3136,278,14,86477,5745,2395,4645,4588,4666,7086,11439,7157,2877,50590,550,720,1934,1473,1209,974,750,616,324,8556,11078,12226,26482,25001,22936,21311,15323,8050,3212,145620
CED205,2212,4420,10240,8909,6277,3873,602,30,0,36556,3379,1654,5068,4870,4090,4603,4651,2381,799,31493,278,352,992,879,579,454,284,193,101,4103,5868,6423,16294,14649,10941,8934,5535,2609,901,72154,506,3468,13275,12517,8215,5418,773,27,0,44197,2448,4049,6232,5755,4025,2735,661,56,0,25962,285,433,1072,698,422,400,101,11,0,3422,100,278,743,522,305,174,31,3,0,2155,3339,8226,21324,19488,12966,8722,1570,95,5,75741,239,661,1098,802,626,324,23,0,0,3776,949,508,565,504,343,247,38,4,0,3159,1188,1168,1662,1302,971,572,58,4,0,6928,4527,9395,22990,20793,13932,9301,1626,103,5,82668,6856,3135,7167,7128,6330,7708,8505,4486,1323,52643,636,814,2083,1806,1187,906,527,364,155,8483,12026,13349,32238,29729,21444,17912,10657,4948,1482,143794
CED206,2695,3560,7915,8531,8983,6889,1701,148,9,40429,1724,534,1460,1719,1749,3306,6632,4068,1477,22666,157,134,352,357,395,350,316,228,110,2401,4578,4227,9727,10610,11120,10537,8648,4451,1599,65494,906,3380,10364,10493,11435,7906,1613,101,10,46211,3072,2923,4183,5446,5294,5153,2054,300,12,28428,550,444,1089,799,722,820,295,55,0,4775,83,145,280,239,236,139,58,17,7,1204,4611,6890,15912,16977,17690,14016,4026,473,26,80620,112,252,284,231,257,242,31,0,0,1399,586,199,181,186,176,183,55,4,0,1568,692,445,465,415,433,416,86,6,3,2969,5305,7341,16373,17396,18124,14436,4109,479,30,83584,3925,1087,2147,2434,2749,5332,11780,7667,2474,39594,339,329,748,733,839,722,599,476,195,4977,9563,8754,19271,20562,21712,20483,16491,8622,2699,128156
CED207,2532,5187,9632,9772,9323,6083,1536,204,12,44281,2880,1624,2024,2317,2598,3939,7023,6465,3410,32283,155,361,660,415,378,315,297,334,396,3308,5557,7176,12312,12505,12293,10334,8859,6996,3826,79864,237,3143,12511,13059,12225,7728,1425,142,6,50490,3101,5816,5875,5237,5246,4164,1833,353,24,31648,450,648,864,665,458,451,213,30,7,3793,41,195,418,266,182,107,30,21,10,1278,3834,9794,19667,19228,18112,12454,3504,549,46,87202,66,373,728,480,424,314,49,0,0,2435,893,771,470,285,303,259,82,6,0,3070,950,1147,1196,773,730,575,130,8,0,5501,4784,10943,20864,20001,18845,13028,3635,559,46,92710,6218,3678,3668,3348,3832,6235,12125,11346,5757,56200,320,845,1524,910,758,588,555,596,600,6691,11321,15469,26052,24258,23436,19846,16313,12503,6401,155599
CED208,1723,3843,12813,10539,8696,5147,1042,76,8,43887,1652,807,1845,1898,1927,2952,4590,3895,2114,21691,148,209,654,489,394,321,324,336,359,3231,3526,4858,15305,12931,11015,8417,5953,4310,2486,68799,208,2362,15477,13370,10985,5891,930,44,0,49271,1950,3796,7015,5941,4990,3455,1161,122,15,28453,334,566,1271,972,533,488,162,20,0,4350,28,142,411,255,176,114,34,12,0,1188,2522,6875,24186,20538,16690,9952,2283,198,23,83259,66,303,656,476,478,311,28,0,3,2314,578,429,461,314,236,216,56,5,0,2287,646,728,1112,790,717,520,81,5,3,4606,3168,7600,25294,21326,17406,10470,2362,209,19,87864,3639,1736,3137,2947,3283,5046,8140,6829,3474,38244,268,511,1384,1034,832,675,612,607,574,6502,7078,9849,29817,25311,21520,16198,11117,7645,4071,132603
CED209,2624,3423,7808,8699,7986,5986,1427,131,17,38102,1418,536,1201,1392,1343,3374,7698,4625,1984,23569,155,189,330,378,316,360,482,418,356,2986,4195,4152,9334,10463,9645,9722,9605,5172,2362,64658,641,2762,9469,10259,9818,6074,1046,106,10,40184,3287,3163,4503,5585,4781,4644,1998,248,21,28230,472,490,1082,891,579,705,292,31,0,4542,69,127,229,217,184,133,63,16,6,1047,4469,6545,15289,16950,15367,11557,3401,400,33,73999,85,203,283,190,237,179,36,5,0,1215,535,240,181,168,145,160,60,13,0,1505,623,446,462,355,372,339,97,14,3,2716,5093,6985,15750,17309,15737,11904,3495,414,39,76718,3091,1116,1848,1884,2109,5409,13964,8636,3256,41303,295,417,727,731,678,722,911,759,550,5785,8476,8523,18315,19922,18524,18027,18371,9805,3841,123811
CED210,2472,4023,9215,8106,7945,5889,1342,107,9,39106,1714,814,1905,1859,1992,3618,6713,4611,2067,25292,196,257,594,515,438,344,440,369,253,3408,4384,5103,11713,10485,10375,9860,8487,5086,2330,67806,611,3313,11692,9850,9874,6603,1090,83,4,43116,3058,3617,5274,5028,4612,4248,1626,198,17,27671,410,468,1011,724,556,639,228,27,4,4060,49,139,316,220,187,139,54,25,8,1142,4132,7532,18293,15822,15220,11631,2998,331,25,75988,135,316,528,354,378,262,35,0,0,2011,561,294,330,218,187,198,58,6,0,1864,690,612,863,577,570,461,98,7,0,3882,4822,8147,19152,16396,15793,12097,3096,343,31,79867,3816,1693,3371,3097,3422,6141,12017,8112,3344,45015,419,561,1259,1019,915,752,805,658,410,6789,9064,10402,23778,20514,20133,18988,15914,9111,3776,131674
