SAL_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
SAL20011,0,0,0,0,0,0,0,6,0,7,0,0,0,0,3,0,0,0,0,3,6,6,10,0,66,51,20,21,0,179,0,0,0,0,9,13,0,8,0,28,5,17,20,14,66,113,27,56,7,320,4,3,4,0,14,18,5,6,0,59,8,26,25,9,51,43,6,12,4,182,5,26,12,8,19,4,4,5,0,84,13,16,37,34,76,114,38,73,9,414,4,4,0,0,17,16,0,5,5,49,3,4,6,0,22,48,7,6,0,88,0,0,0,3,15,10,0,4,0,34,0,0,3,5,37,74,14,13,0,152,3,4,9,3,16,18,0,7,0,67,7,6,0,3,40,39,6,6,0,100,0,3,5,0,14,14,0,5,0,49,0,9,6,19,32,47,0,9,3,130,0,4,5,0,4,4,0,0,0,24,0,5,8,3,13,13,3,7,0,52,0,5,8,4,27,17,0,13,29,105
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,5,0,0,0,5,0,0,8,4,6,11,4,5,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,12,0,8,3,0,0,0,0,5,0,22,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,3,0,6,0,9,6,6,5,12,3,0,0,36,0,4,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,7,0,9,0,0,3,0,0,5,0,15,0,0,4,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5
SAL20014,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,10
SAL20015,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,8,8,8,46,46,17,26,0,152,5,3,0,0,9,4,0,9,0,24,18,19,19,18,88,153,43,104,3,463,0,4,5,3,28,29,3,16,0,92,8,30,19,10,39,20,8,13,4,149,10,41,12,4,13,6,0,11,0,87,12,8,13,14,59,52,20,36,0,217,0,6,0,0,7,10,0,4,0,39,0,4,0,3,20,47,5,14,0,93,0,0,0,0,7,4,6,17,0,37,0,6,9,7,32,41,12,29,0,138,3,9,5,0,13,11,0,9,0,49,9,0,5,7,53,45,10,16,3,155,7,17,3,0,28,21,13,7,0,90,5,14,10,4,19,35,6,10,0,92,7,4,0,6,9,7,4,3,0,42,3,12,9,0,16,26,4,15,0,96,3,12,7,0,36,34,11,8,9,114
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,8,11,5,103,46,10,12,0,208,0,0,0,0,11,0,0,0,0,9,4,11,18,17,40,55,9,12,7,176,0,5,0,3,18,8,0,0,0,37,8,30,11,4,21,9,4,5,0,97,0,14,12,4,22,3,0,0,0,60,9,14,15,8,35,34,13,13,8,136,0,0,0,0,7,4,0,0,0,13,0,5,0,0,5,15,3,0,0,26,0,5,0,0,3,0,0,0,0,8,3,3,4,0,12,10,0,6,0,46,0,9,7,3,12,4,0,3,0,42,3,0,3,0,10,11,0,5,0,44,0,8,3,6,8,3,0,3,0,32,3,0,4,6,15,8,0,3,5,43,5,0,0,0,4,0,0,0,0,19,6,7,7,4,16,8,0,6,5,56,0,6,13,7,38,19,11,4,32,126
SAL20018,0,0,0,0,0,3,0,4,0,14,0,0,0,0,0,0,0,6,0,5,0,13,3,0,9,19,4,25,0,69,0,0,0,0,4,4,0,4,0,11,0,8,9,6,17,53,19,70,0,186,0,3,0,3,6,14,3,21,0,52,4,22,11,4,5,15,3,17,0,86,13,23,14,9,4,15,0,9,0,84,9,5,4,3,0,14,6,8,0,50,0,4,0,4,6,11,5,22,0,48,4,5,5,12,15,50,8,53,0,144,0,6,3,3,5,13,8,6,0,52,6,18,18,19,26,87,24,103,0,298,0,0,5,5,12,12,7,10,0,48,4,4,0,5,18,17,7,12,0,67,0,17,4,7,11,21,0,9,3,69,3,17,7,9,9,18,13,27,0,109,6,8,8,0,6,12,4,15,0,56,5,3,0,0,8,4,3,4,0,36,3,4,0,0,5,20,0,22,4,72
SAL20019,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SAL20020,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20021,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10,0,41,30,9,12,4,109,0,0,0,0,6,3,0,0,0,17,3,9,5,13,20,51,9,22,8,138,0,0,4,3,18,9,3,4,0,36,4,27,20,12,17,10,3,0,0,95,3,33,28,9,14,9,5,3,3,106,6,17,25,7,33,34,8,17,9,152,0,0,0,0,9,4,0,0,0,10,0,0,0,0,12,16,0,6,0,31,0,0,0,0,13,3,0,0,0,18,4,3,3,0,20,26,5,4,0,64,0,6,12,8,16,5,0,9,3,59,0,7,13,6,28,14,3,6,0,69,5,8,4,8,9,9,3,5,0,54,0,0,9,13,19,7,0,6,0,64,0,7,3,0,3,3,0,0,0,19,0,4,9,6,10,13,4,3,0,41,5,5,3,6,19,14,4,0,20,76
