SAL_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SAL20011,0,6,29,28,9,3,0,0,0,79,53,139,650,659,195,64,3,0,0,1759,0,0,4,4,4,0,0,0,0,14,0,0,7,5,0,0,0,0,0,7,4,9,62,98,43,15,0,0,0,237,0,4,19,20,0,0,0,0,0,46,3,38,153,126,45,15,0,0,0,386,0,6,16,36,13,4,0,0,0,82,31,51,115,113,35,9,0,0,0,359,34,25,49,37,11,4,0,0,0,169,4,15,177,218,55,27,6,0,0,503,0,7,19,35,10,0,0,0,0,78,0,5,78,91,21,3,0,0,0,199,4,0,21,18,3,0,0,0,0,54,0,13,85,130,16,0,0,0,0,250,0,12,45,45,15,8,0,0,0,131,0,8,62,81,23,11,0,0,0,192,3,10,66,105,34,8,0,0,0,230,0,40,237,247,93,26,6,0,0,649,0,6,21,6,9,0,0,0,0,42
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,0,0,0,0,0,0,0,9,15,4,23,23,57,75,22,0,0,229,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,12,0,0,0,0,0,0,0,0,0,5,4,5,0,8,16,16,0,0,0,52,0,4,0,0,0,0,0,0,0,9,0,3,8,5,5,12,6,0,0,36,15,3,9,4,11,10,3,0,0,59,0,0,0,0,4,7,6,0,0,9,0,0,0,0,0,5,3,0,0,8,0,0,0,0,7,4,0,0,0,12,0,0,0,0,0,9,0,0,0,13,0,0,0,7,12,14,18,0,0,56,0,0,0,0,4,3,7,0,0,10,0,0,0,6,6,7,4,0,0,31,0,0,9,7,10,18,3,0,0,41,0,0,5,8,18,13,6,0,0,54,0,0,4,0,0,6,0,0,0,15
SAL20014,0,0,0,0,0,0,0,0,0,0,7,0,5,8,8,12,3,0,0,41,0,0,0,10,4,4,11,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,3,0,0,0,10,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,13,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
SAL20015,3,0,13,17,13,4,5,0,0,68,83,126,546,505,407,305,58,4,0,2039,0,0,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,0,0,6,6,16,42,64,54,38,22,0,0,242,0,8,5,6,11,11,0,0,0,37,15,47,170,130,100,57,13,4,0,540,0,8,38,32,48,19,7,0,0,152,46,54,80,71,53,48,9,0,0,361,58,33,31,39,27,16,3,0,0,210,4,16,60,79,78,54,17,0,0,319,0,3,18,16,12,3,0,0,0,59,0,15,55,68,24,22,5,0,0,183,0,3,18,13,14,13,0,0,0,74,5,13,74,91,49,35,4,0,0,272,0,12,28,22,16,15,8,5,0,108,0,10,63,102,90,50,9,0,0,327,6,14,126,112,72,65,6,0,0,408,0,16,142,115,97,79,20,0,0,470,7,9,29,16,10,6,0,0,0,72
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,0,4,17,10,14,13,0,0,0,57,44,86,227,206,168,139,32,7,0,908,0,0,3,9,3,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,8,7,62,71,74,73,8,4,0,299,0,0,7,7,4,0,3,0,0,14,3,21,54,53,35,25,7,0,0,198,0,4,10,15,17,10,4,0,0,68,25,45,51,24,28,29,6,0,0,206,40,18,30,26,12,11,0,0,0,139,3,18,46,38,32,27,8,0,0,167,0,0,5,4,0,0,0,0,0,13,0,8,24,10,11,5,0,0,0,52,0,0,7,11,3,3,0,0,0,23,0,3,35,18,12,8,4,0,0,82,0,3,8,23,21,19,3,0,0,80,0,8,24,21,11,4,6,5,0,82,3,10,32,20,14,27,7,0,0,108,0,17,63,57,29,36,19,0,0,221,0,8,12,6,3,0,0,0,0,24
SAL20018,4,0,9,25,24,5,3,0,0,78,60,83,246,367,438,263,91,11,0,1560,0,0,0,0,3,3,3,0,0,14,0,0,0,7,4,0,0,0,0,12,8,6,16,19,33,26,10,0,0,118,0,0,4,14,7,3,0,0,0,27,4,10,55,55,55,38,8,5,0,225,0,4,9,16,23,29,5,0,0,90,21,30,25,34,51,36,5,0,0,206,43,21,23,37,22,16,4,0,0,168,4,3,7,20,21,18,0,0,0,81,0,7,10,21,25,22,3,0,0,95,0,8,32,69,86,41,14,3,0,248,0,0,13,21,24,16,7,3,0,89,0,13,95,137,172,87,48,11,0,563,0,0,15,21,16,25,7,6,0,85,0,4,18,30,57,43,15,5,0,168,16,10,40,36,60,41,27,3,0,236,3,13,52,89,89,80,33,3,0,362,11,13,9,19,25,12,7,6,0,98
SAL20019,0,0,0,0,0,0,0,0,0,0,0,0,8,10,14,15,7,0,0,50,0,0,9,0,8,3,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,7,6,0,0,18,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,3,6,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,4,0,0,24,0,0,0,0,0,7,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
