SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL20001,0,0,0,0,0,4,0,0,0,4
SAL20002,733,859,3279,1784,888,692,508,249,97,9088
SAL20003,638,642,361,461,657,595,340,142,81,3925
SAL20004,0,0,0,0,0,0,0,0,0,7
SAL20005,10,9,11,8,21,21,31,20,5,146
SAL20006,0,0,0,0,0,0,0,0,0,0
SAL20007,23,8,5,14,18,8,6,0,0,83
SAL20008,14,6,10,0,4,10,15,7,0,65
SAL20009,18,6,0,10,13,13,12,5,3,85
SAL20010,0,4,3,3,13,8,19,7,3,61
SAL20011,2528,719,1737,1894,583,291,184,42,12,7982
SAL20012,0,0,0,0,0,0,0,0,0,0
SAL20013,104,70,59,74,135,223,209,68,28,979
SAL20014,31,15,14,16,23,31,23,4,0,160
SAL20015,1349,742,1281,1273,1028,892,770,562,265,8173
SAL20016,0,0,0,0,0,0,0,0,0,0
SAL20017,1054,699,847,768,667,663,655,246,51,5641
SAL20018,990,531,560,815,984,854,700,476,123,6044
SAL20019,54,17,27,21,37,51,58,22,8,297
SAL20020,5,5,10,6,13,10,14,3,0,76
SAL20021,616,474,1000,725,446,419,367,210,80,4334
SAL20022,410,249,231,279,337,418,488,280,96,2801
SAL20023,2707,1690,1398,1657,1517,1182,994,533,144,11822
SAL20024,0,0,3,0,3,9,9,0,0,24
SAL20025,23,6,3,14,24,6,10,4,0,96
SAL20026,5,3,5,0,12,16,10,0,4,61
SAL20027,66,28,13,39,59,44,32,20,0,297
SAL20028,268,145,148,177,210,202,180,70,17,1410
SAL20029,29,15,10,23,45,33,23,4,5,185
SAL20030,27,16,8,23,27,21,33,8,0,168
SAL20031,28,19,11,20,43,31,29,12,4,195
SAL20032,5,3,3,4,3,6,0,0,6,31
SAL20033,9,7,8,6,3,9,10,3,0,66
SAL20034,870,683,922,813,833,775,494,218,97,5702
SAL20035,2006,915,1376,1919,1683,1357,1135,750,345,11490
SAL20036,3029,1857,2588,2659,2459,2569,2003,919,402,18479
SAL20037,2624,1153,2047,2077,1508,1035,962,999,561,12962
SAL20038,27,14,14,11,15,37,12,4,6,141
SAL20039,7,9,5,7,5,18,17,3,0,63
SAL20040,0,0,0,0,0,5,0,0,3,4
SAL20041,18,24,10,24,26,44,51,20,4,223
SAL20042,146,74,71,85,110,121,90,26,11,734
SAL20043,18,5,4,11,14,24,25,9,0,99
SAL20044,5,6,0,4,6,4,5,3,0,26
SAL20045,0,0,0,0,5,5,11,0,0,31
SAL20046,460,229,254,333,361,543,613,306,102,3208
SAL20047,10,4,3,9,3,3,9,3,0,40
SAL20048,13,5,9,7,3,11,5,7,0,53
SAL20049,239,118,177,181,238,309,319,143,54,1790
SAL20050,0,0,0,0,0,4,3,0,0,12
SAL20051,5,0,5,7,3,9,9,0,0,38
SAL20052,44,25,24,23,39,79,60,22,3,329
SAL20053,1223,868,1177,946,1052,1175,1093,664,303,8500
SAL20054,6,15,3,8,18,17,17,4,0,92
SAL20055,0,0,0,0,0,0,0,0,0,0
SAL20056,30,39,16,19,45,26,26,12,0,212
SAL20057,15,17,9,10,13,21,7,7,3,95
SAL20058,8,0,0,0,3,3,0,3,0,23
SAL20059,0,0,0,0,0,0,0,0,0,12
SAL20060,4,0,9,0,0,5,0,4,0,16
SAL20061,0,6,4,4,8,7,7,0,0,32
SAL20062,542,285,605,546,398,276,257,150,107,3170
SAL20063,74,62,54,55,70,90,54,29,0,497
SAL20064,0,5,0,0,6,3,0,3,0,18
