SAL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SAL20011,0,0,7,0,0,0,5,0,0,0,0,0,0,3,12,5,49,24,33,7,129,6,0,3,5,6,0,22,11,3,49,37,111,0,216,8,0,10,11,10,0,39,16,0,46,26,25,3,120,3,0,15,17,10,0,49,43,5,84,113,47,7,291,11,4,22,0,0,0,45,21,8,38,7,3,0,78,5,0,4,7,9,0,27,39,0,72,11,9,6,147,6,0,15,9,11,6,47,21,0,30,21,18,0,92,16,3,14,3,6,0,43,33,3,51,17,15,4,125,0,0,0,7,3,0,13,0,0,13,8,15,0,40,10,3,18,12,15,9,69,269,41,545,347,362,53,1607,0,0,3,0,0,0,4,0,0,3,0,0,0,3,0,4,24,3,13,0,42,3,0,10,0,3,0,16,9,0,11,7,9,3,42,0,0,3,3,0,0,15,23,4,34,26,27,4,117,12,3,17,13
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,5,0,0,7,3,24,0,37,0,0,4,0,3,0,6,0,0,6,3,0,0,15,0,0,8,9,0,0,15,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,0,5,0,0,0,5,0,0,0,0,0,0,6,7,8,16,3,4,0,34,0,0,0,5,3,0,8,0,0,0,0,0,0,10,5,9,4,0,4,0,16,5,0,9,0,0,0,11,0,0,0,0,0,0,7,0,4,0,0,0,0,3,3,0,0,0,0,0,5,23,12,71,21,53,3,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,4,0,0,9,0,0,15,0
SAL20014,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,3,19,4,26,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
SAL20015,0,0,0,0,0,0,3,0,0,0,0,0,0,3,7,0,30,19,52,5,109,0,0,9,3,10,0,19,6,0,36,28,258,4,338,3,0,22,6,22,0,56,6,0,30,15,32,0,87,6,0,7,10,11,0,34,6,0,28,26,68,0,138,0,4,14,4,12,0,34,9,3,40,17,4,0,73,5,0,4,7,13,3,25,16,9,63,21,21,0,135,0,0,6,4,15,3,30,9,9,31,34,37,0,120,19,8,35,5,15,0,82,24,0,25,12,12,0,76,0,0,14,4,3,0,31,4,0,12,9,54,4,80,5,6,19,3,40,10,80,140,50,428,236,671,36,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,22,10,17,3,56,0,0,5,0,5,0,11,3,0,22,13,15,0,55,9,0,15,4,9,0,39,10,7,34,15,23,3,99,4,0,23,14
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,17,11,47,8,83,0,0,6,4,0,0,9,0,0,9,8,70,5,88,0,0,0,0,6,0,12,4,0,12,8,14,4,49,0,0,6,17,12,0,34,12,0,18,12,26,0,66,0,0,3,3,0,0,10,0,3,11,4,5,0,26,0,0,4,0,3,0,6,7,0,15,6,10,0,40,0,0,5,6,9,0,11,4,0,8,8,8,0,28,0,4,13,5,5,0,27,4,0,10,3,16,0,35,0,0,0,0,4,0,5,0,0,9,4,20,0,35,0,0,3,6,18,17,48,48,5,143,111,279,42,624,0,0,4,0,0,0,7,0,0,0,0,0,0,0,3,0,8,8,12,0,28,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,7,3,3,0,10,0,0,18,8,12,0,48,0,0,5,7
SAL20018,5,0,0,0,3,0,8,3,0,0,0,0,0,5,8,8,23,9,7,0,58,8,0,3,0,0,0,11,19,0,38,17,73,0,146,7,5,16,3,3,4,37,3,0,20,11,12,4,51,3,0,16,9,8,0,40,0,0,17,3,7,4,36,6,3,21,3,3,0,34,36,7,77,14,3,0,135,6,6,17,5,6,0,43,74,10,154,13,14,8,279,3,3,17,0,4,4,37,15,12,25,4,4,0,60,32,8,18,0,3,0,63,42,3,48,8,4,5,106,10,0,18,4,6,0,36,5,0,9,0,10,3,26,12,0,27,8,4,9,56,300,64,566,119,182,37,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,18,3,4,0,35,9,0,0,0,0,0,11,3,4,19,7,8,0,32,6,3,12,3,4,0,32,10,3,33,15,10,0,69,3,0,16,8
SAL20019,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,3,4,3,5,19,0,40,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
SAL20020,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20021,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,3,17,13,23,4,66,0,0,0,0,7,0,14,5,0,12,16,46,0,81,0,0,5,5,5,3,27,23,0,23,9,10,0,63,9,0,22,23,14,0,75,13,3,30,15,22,5,84,4,0,3,4,5,0,10,0,4,8,4,3,0,24,0,0,0,3,6,0,8,14,0,29,4,5,0,58,3,0,3,5,15,0,34,14,0,19,12,8,0,59,23,3,22,3,4,0,50,3,4,30,5,12,3,56,0,0,3,5,4,0,12,0,0,6,6,7,0,31,13,0,11,5,12,6,48,149,26,250,143,205,30,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,7,0,22,4,0,0,0,0,0,0,0,0,0,6,6,0,17,0,0,7,5,3,0,10,6,3,17,12,16,4,55,5,3,11,9
