Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY21-22,19827,Stony Point,-38.37423454,145.2218375,3600,50,50,50,50,50,50,50,50,50,50
FY21-22,19828,Crib Point,-38.36612338,145.2040433,6700,50,50,50,50,50,50,50,50,50,50
FY21-22,19829,Morradoo,-38.35403334,145.1896025,2300,50,50,50,50,50,50,50,50,50,50
FY21-22,19830,Bittern,-38.33739032,145.1780265,4600,50,50,50,50,50,50,50,50,50,50
FY21-22,19831,Hastings,-38.30565853,145.1859799,8300,50,50,50,50,50,50,50,50,50,50
FY21-22,19832,Tyabb,-38.259815,145.1864007,2350,50,50,50,50,50,50,50,50,50,50
FY21-22,19833,Somerville,-38.22534196,145.1762449,4500,50,50,50,50,50,50,50,50,50,50
FY21-22,19834,Baxter,-38.19404306,145.1605261,1500,50,50,50,50,50,50,50,50,50,50
FY21-22,19835,Glen Iris,-37.85930842,145.0582249,148050,450,500,350,300,200,50,200,100,150,50
FY21-22,19836,Leawarra,-38.152034,145.139534,4150,50,50,50,50,50,50,50,50,50,50
FY21-22,19837,Darling,-37.86895684,145.0629508,135200,400,450,350,300,200,50,250,100,100,50
FY21-22,19838,East Malvern,-37.87693002,145.069393,176600,500,500,450,500,400,50,250,100,100,50
FY21-22,19839,Holmesglen,-37.87440222,145.090662,216150,650,700,550,550,400,50,250,150,200,50
FY21-22,19840,Jordanville,-37.87360339,145.1120902,191000,600,650,500,400,300,50,300,150,100,50
FY21-22,19844,Belgrave,-37.9091021,145.3552913,152800,450,500,400,350,250,50,150,100,150,50
FY21-22,19845,Tecoma,-37.90811849,145.3429946,32600,100,100,100,50,50,50,50,50,50,50
FY21-22,19846,Upwey,-37.90369097,145.3313334,69600,200,250,150,150,100,50,100,50,50,50
FY21-22,19847,Alamein,-37.86832039,145.0796557,54200,150,200,150,100,100,50,100,50,50,50
FY21-22,19848,Ashburton,-37.86196753,145.0813438,109450,350,400,300,200,150,50,200,100,50,50
FY21-22,19849,Burwood,-37.85156328,145.0805111,116850,400,400,300,200,150,50,250,100,50,50
FY21-22,19850,Hartwell,-37.84398457,145.0755596,75500,250,250,200,150,100,50,150,50,50,50
FY21-22,19851,Willison,-37.83571565,145.0702976,35750,100,150,100,50,50,50,50,50,50,50
FY21-22,19852,Riversdale,-37.83150543,145.069646,85550,300,350,150,100,50,50,150,50,150,50
FY21-22,19853,Camberwell,-37.82656714,145.0586972,789300,2400,2550,2050,1750,1500,100,700,600,1000,200
FY21-22,19855,Frankston,-38.14299007,145.1261623,692750,2050,2000,2200,1750,1300,300,550,600,450,100
FY21-22,19856,Kananook,-38.12174203,145.1352953,93400,300,300,300,150,100,50,100,100,50,50
FY21-22,19857,Seaford,-38.10402104,145.1282304,162550,500,500,500,350,250,100,200,100,50,50
FY21-22,19858,Carrum,-38.07489292,145.1224183,182150,550,550,500,400,300,100,250,150,100,50
FY21-22,19859,Bonbeach,-38.06294478,145.1196804,67050,200,200,200,150,100,50,100,50,50,50
FY21-22,19860,Chelsea,-38.05195538,145.1160413,161650,500,500,500,400,250,50,200,150,100,50
FY21-22,19861,Edithvale,-38.03805602,145.1085355,101050,300,300,300,250,150,50,150,50,50,50
FY21-22,19862,Aspendale,-38.02722019,145.1021496,88300,300,300,250,200,150,50,150,50,50,50
FY21-22,19863,Mordialloc,-38.00658295,145.0876594,284900,900,900,750,650,450,100,400,200,200,50
FY21-22,19864,Parkdale,-37.99307882,145.0763268,179650,550,600,500,400,250,50,200,150,150,50
FY21-22,19865,Mentone,-37.9818654,145.0651659,424350,1400,1550,950,750,500,50,350,350,700,50
FY21-22,19866,Cheltenham,-37.96664989,145.0545579,319800,1000,1050,900,650,450,100,450,250,250,50
FY21-22,19867,Upper Ferntree Gully,-37.8926717,145.3075302,103250,300,350,300,200,150,50,150,50,50,50
FY21-22,19868,Ferntree Gully,-37.88169799,145.2952513,188800,600,650,550,350,250,100,300,150,100,50
FY21-22,19869,Boronia,-37.8604518,145.2843851,269450,850,900,750,500,350,100,400,200,150,50
FY21-22,19870,Bayswater,-37.84173004,145.2681364,263750,850,900,750,500,350,100,350,200,200,50
FY21-22,19871,Heathmont,-37.82832227,145.2445554,105300,350,350,250,200,150,50,150,50,100,50
FY21-22,19872,Highett,-37.948425,145.0418718,212700,650,700,600,500,300,50,300,150,150,50
FY21-22,19873,Glen Waverley,-37.87950407,145.1620575,705400,2100,2150,1900,1800,1350,150,850,500,450,150
FY21-22,19874,Syndal,-37.87622963,145.1497805,333650,1050,1100,900,700,500,100,550,200,200,50
FY21-22,19875,Mount Waverley,-37.87525526,145.1280557,338200,1050,1150,800,750,550,50,450,250,350,50
FY21-22,19876,Lilydale,-37.75551777,145.3477102,236150,700,700,700,550,400,100,250,200,150,50
FY21-22,19877,Mooroolbark,-37.78474883,145.3124024,213050,650,650,650,450,300,100,300,150,100,50
FY21-22,19878,Croydon,-37.79543697,145.2805978,327150,1050,1100,950,650,400,150,500,250,200,50
FY21-22,19879,Ringwood East,-37.81196804,145.2501909,133050,450,450,350,200,150,50,200,100,100,50
FY21-22,19880,Pakenham,-38.08061397,145.4863791,270350,850,900,700,550,400,200,250,250,200,50
FY21-22,19881,Officer,-38.06614572,145.4109872,64850,250,250,150,100,50,50,100,50,50,50
FY21-22,19882,Beaconsfield,-38.05083135,145.3660737,119350,400,450,250,150,100,100,200,100,100,50
FY21-22,19883,Berwick,-38.04040829,145.3457261,325600,1100,1200,750,500,350,200,400,300,300,50
FY21-22,19884,Narre Warren,-38.02780932,145.3039694,318150,1050,1100,850,550,400,200,400,250,200,50
FY21-22,19885,Hallam,-38.01774038,145.2697768,118900,400,400,350,150,150,50,150,100,100,50
FY21-22,19886,Cranbourne,-38.09953731,145.280599,462300,1500,1600,1150,850,600,400,600,350,200,50
FY21-22,19887,Merinda Park,-38.07900048,145.2635114,183900,600,650,400,300,200,150,300,150,50,50
FY21-22,19888,Dandenong,-37.98996792,145.2097254,1234650,3950,4200,3050,2450,1850,300,950,1050,1600,250
FY21-22,19889,Yarraman,-37.97825454,145.1916003,140000,450,500,350,250,200,50,150,150,100,50
FY21-22,19890,Noble Park,-37.96723193,145.1769357,556700,1750,1900,1350,1100,850,250,600,500,500,100
FY21-22,19891,Sandown Park,-37.95650457,145.1628259,189600,600,650,450,350,300,50,300,150,100,50
FY21-22,19892,East Camberwell,-37.82589419,145.0681902,104900,350,400,200,150,100,50,100,100,200,50
FY21-22,19893,Canterbury,-37.82448518,145.0812242,145650,450,500,350,300,250,50,200,100,150,50
FY21-22,19894,Chatham,-37.82429952,145.0886479,95650,300,300,250,200,150,50,150,50,100,50
FY21-22,19895,Surrey Hills,-37.82414805,145.0987747,241750,800,800,700,500,350,50,400,150,150,50
FY21-22,19896,Mont Albert,-37.81942655,145.1055304,98450,300,300,250,250,150,50,150,100,50,50
FY21-22,19897,Laburnum,-37.82078023,145.1407027,167650,550,600,400,350,250,50,250,150,150,50
FY21-22,19898,Blackburn,-37.82007075,145.1500135,607450,1950,2050,1550,1200,900,150,850,450,550,100
FY21-22,19899,Nunawading,-37.82060317,145.1748917,421250,1350,1400,1150,850,600,100,550,300,350,50
FY21-22,19900,Mitcham,-37.81800987,145.1919735,511650,1650,1750,1400,1000,700,150,800,350,350,50
FY21-22,19901,Heatherdale,-37.81889537,145.2127872,224400,750,800,600,350,250,100,450,100,100,50
FY21-22,19902,Ringwood,-37.81588648,145.2289685,1080200,3200,3250,3050,2900,2050,200,850,850,1100,200
FY21-22,19903,Auburn,-37.82239831,145.0458437,331450,1050,1100,850,750,550,50,400,250,300,50
FY21-22,19904,Glenferrie,-37.82146682,145.0364388,1068450,3600,3950,2450,1650,1200,50,550,1150,1850,350
FY21-22,19905,Hawthorn,-37.82182601,145.0228987,285900,950,1000,700,550,400,50,300,200,400,50
FY21-22,19906,Burnley,-37.82756022,145.0075551,455750,1250,1200,1400,1700,1050,50,350,250,450,100
FY21-22,19907,East Richmond,-37.82639995,144.9970657,251800,850,900,700,400,250,50,150,150,550,50
FY21-22,19909,Heyington,-37.83467244,145.0226353,120750,450,500,150,100,100,50,100,100,300,50
FY21-22,19910,Kooyong,-37.83992894,145.0335516,132800,400,450,300,250,200,50,150,100,200,50
FY21-22,19911,Tooronga,-37.84936553,145.0417337,228050,750,750,600,450,350,50,300,150,250,50
FY21-22,19912,Gardiner,-37.85327908,145.0516547,198550,600,600,500,500,400,50,250,100,150,50
FY21-22,19913,Springvale,-37.94950878,145.1534518,750700,2300,2400,1850,1700,1300,200,600,700,750,150
FY21-22,19914,Westall,-37.93849121,145.1388326,474400,1500,1500,1650,950,750,150,450,350,450,100
FY21-22,19915,Clayton,-37.92468255,145.1205344,853500,2700,2750,2500,1800,1300,200,700,700,900,200
FY21-22,19916,Huntingdale,-37.91101734,145.1023643,666850,2350,2600,1550,750,500,100,550,600,1150,200
FY21-22,19917,Oakleigh,-37.90037214,145.0883079,836350,2650,2750,2300,1750,1250,150,650,700,1050,200
FY21-22,19918,Hughesdale,-37.89488129,145.0776351,276350,850,900,750,600,400,50,350,200,250,50
FY21-22,19919,Murrumbeena,-37.89019832,145.0673749,351600,1150,1200,950,700,500,100,500,250,250,50
FY21-22,19920,Carnegie,-37.88624148,145.0585751,510850,1600,1650,1400,1150,800,100,650,400,400,100
FY21-22,19921,Werribee,-37.89937805,144.661118,532750,1700,1800,1500,1050,750,350,700,450,250,50
FY21-22,19922,Hoppers Crossing,-37.88327618,144.7009549,436400,1450,1550,1200,750,550,250,550,350,350,50
FY21-22,19923,Laverton,-37.86369404,144.7726167,552750,1800,1900,1550,950,700,250,800,450,350,50
FY21-22,19924,Aircraft,-37.86660595,144.7608094,73150,250,250,200,150,100,50,100,50,50,50
FY21-22,19925,Westona,-37.86516348,144.8134936,137950,450,500,300,250,150,50,150,100,200,50
FY21-22,19926,Altona,-37.8671476,144.8296447,144800,450,450,400,400,300,50,150,150,100,50
FY21-22,19927,Seaholme,-37.86784231,144.8409577,49550,150,150,150,150,100,50,50,50,50,50
FY21-22,19928,Westgarth,-37.7806207,144.9992332,124700,400,400,300,300,200,50,200,100,100,50
FY21-22,19929,Dennis,-37.77918729,145.0082416,140800,450,500,350,300,200,50,250,100,100,50
FY21-22,19930,Fairfield,-37.77917126,145.0169053,262300,800,850,650,600,450,50,350,200,200,50
FY21-22,19931,Alphington,-37.77839363,145.0312549,129950,400,450,300,300,200,50,200,100,100,50
FY21-22,19932,Darebin,-37.77496341,145.038476,60500,200,200,100,100,100,50,50,50,100,50
FY21-22,19933,Ivanhoe,-37.76889674,145.0454252,319750,1050,1100,800,650,450,50,450,200,300,50
FY21-22,19934,Eaglemont,-37.76358553,145.0539427,58550,200,200,150,150,100,50,100,50,50,50
FY21-22,19935,Heidelberg,-37.75707293,145.0606855,384400,1250,1350,950,700,500,50,300,300,650,100
FY21-22,19936,Rosanna,-37.7428786,145.0661403,293550,950,1000,750,600,400,100,500,200,150,50
FY21-22,19937,Moorabbin,-37.93435329,145.0367383,322300,950,1000,800,850,650,50,250,250,350,50
FY21-22,19938,Patterson,-37.92514919,145.03547,144800,450,500,350,300,200,50,200,100,150,50
FY21-22,19939,Bentleigh,-37.91742457,145.0369951,344350,1050,1050,950,900,650,50,350,300,250,50
FY21-22,19940,Mckinnon,-37.91030903,145.038299,196050,600,600,500,450,350,50,250,150,150,50
