POW_SA2_CODE_2021,M_AgFF_H_0,M_AgFF_H_1_19,M_AgFF_H_20_29,M_AgFF_H_30_34,M_AgFF_H_35_39,M_AgFF_H_40_44,M_AgFF_H_45_49,M_AgFF_H_50ov,M_AgFF_H_NS,M_AgFF_H_Tot,M_Min_H_0,M_Min_H_1_19,M_Min_H_20_29,M_Min_H_30_34,M_Min_H_35_39,M_Min_H_40_44,M_Min_H_45_49,M_Min_H_50ov,M_Min_H_NS,M_Min_H_Tot,M_Mnf_H_0,M_Mnf_H_1_19,M_Mnf_H_20_29,M_Mnf_H_30_34,M_Mnf_H_35_39,M_Mnf_H_40_44,M_Mnf_H_45_49,M_Mnf_H_50ov,M_Mnf_H_NS,M_Mnf_H_Tot,M_EGWWS_H_0,M_EGWWS_H_1_19,M_EGWWS_H_20_29,M_EGWWS_H_30_34,M_EGWWS_H_35_39,M_EGWWS_H_40_44,M_EGWWS_H_45_49,M_EGWWS_H_50ov,M_EGWWS_H_NS,M_EGWWS_H_Tot,M_Const_H_0,M_Const_H_1_19,M_Const_H_20_29,M_Const_H_30_34,M_Const_H_35_39,M_Const_H_40_44,M_Const_H_45_49,M_Const_H_50ov,M_Const_H_NS,M_Const_H_Tot,M_WST_H_0,M_WST_H_1_19,M_WST_H_20_29,M_WST_H_30_34,M_WST_H_35_39,M_WST_H_40_44,M_WST_H_45_49,M_WST_H_50ov,M_WST_H_NS,M_WST_H_Tot,M_RetT_H_0,M_RetT_H_1_19,M_RetT_H_20_29,M_RetT_H_30_34,M_RetT_H_35_39,M_RetT_H_40_44,M_RetT_H_45_49,M_RetT_H_50ov,M_RetT_H_NS,M_RetT_H_Tot,M_AcFd_H_0,M_AcFd_H_1_19,M_AcFd_H_20_29,M_AcFd_H_30_34,M_AcFd_H_35_39,M_AcFd_H_40_44,M_AcFd_H_45_49,M_AcFd_H_50ov,M_AcFd_H_NS,M_AcFd_H_Tot,M_TPW_H_0,M_TPW_H_1_19,M_TPW_H_20_29,M_TPW_H_30_34,M_TPW_H_35_39,M_TPW_H_40_44,M_TPW_H_45_49,M_TPW_H_50ov,M_TPW_H_NS,M_TPW_H_Tot,M_IMT_H_0,M_IMT_H_1_19,M_IMT_H_20_29,M_IMT_H_30_34,M_IMT_H_35_39,M_IMT_H_40_44,M_IMT_H_45_49,M_IMT_H_50ov,M_IMT_H_NS,M_IMT_H_Tot,M_FinIns_H_0,M_FinIns_H_1_19,M_FinIns_H_20_29,M_FinIns_H_30_34,M_FinIns_H_35_39,M_FinIns_H_40_44,M_FinIns_H_45_49,M_FinIns_H_50ov,M_FinIns_H_NS,M_FinIns_H_Tot,M_RHRE_H_0,M_RHRE_H_1_19,M_RHRE_H_20_29,M_RHRE_H_30_34,M_RHRE_H_35_39,M_RHRE_H_40_44,M_RHRE_H_45_49,M_RHRE_H_50ov,M_RHRE_H_NS,M_RHRE_H_Tot,M_ProSTS_H_0,M_ProSTS_H_1_19,M_ProSTS_H_20_29,M_ProSTS_H_30_34,M_ProSTS_H_35_39,M_ProSTS_H_40_44,M_ProSTS_H_45_49,M_ProSTS_H_50ov,M_ProSTS_H_NS,M_ProSTS_H_Tot,M_AdSup_H_0,M_AdSup_H_1_19,M_AdSup_H_20_29,M_AdSup_H_30_34,M_AdSup_H_35_39,M_AdSup_H_40_44,M_AdSup_H_45_49,M_AdSup_H_50ov,M_AdSup_H_NS,M_AdSup_H_Tot,M_PubAS_H_0,M_PubAS_H_1_19,M_PubAS_H_20_29,M_PubAS_H_30_34,M_PubAS_H_35_39,M_PubAS_H_40_44,M_PubAS_H_45_49,M_PubAS_H_50ov,M_PubAS_H_NS,M_PubAS_H_Tot,M_EdTrn_H_0,M_EdTrn_H_1_19,M_EdTrn_H_20_29,M_EdTrn_H_30_34,M_EdTrn_H_35_39,M_EdTrn_H_40_44,M_EdTrn_H_45_49,M_EdTrn_H_50ov,M_EdTrn_H_NS,M_EdTrn_H_Tot,M_HltHC_SA_H_0,M_HltHC_SA_H_1_19,M_HltHC_SA_H_20_29,M_HltHC_SA_H_30_34,M_HltHC_SA_H_35_39,M_HltHC_SA_H_40_44,M_HltHC_SA_H_45_49,M_HltHC_SA_H_50ov,M_HltHC_SA_H_NS,M_HltHC_SA_H_Tot,M_ArtsR_H_0,M_ArtsR_H_1_19,M_ArtsR_H_20_29,M_ArtsR_H_30_34,M_ArtsR_H_35_39,M_ArtsR_H_40_44,M_ArtsR_H_45_49,M_ArtsR_H_50ov,M_ArtsR_H_NS,M_ArtsR_H_Tot,M_OthSvs_H_0,M_OthSvs_H_1_19,M_OthSvs_H_20_29,M_OthSvs_H_30_34,M_OthSvs_H_35_39,M_OthSvs_H_40_44,M_OthSvs_H_45_49,M_OthSvs_H_50ov,M_OthSvs_H_NS,M_OthSvs_H_Tot,M_IDNS_H_0,M_IDNS_H_1_19,M_IDNS_H_20_29,M_IDNS_H_30_34,M_IDNS_H_35_39,M_IDNS_H_40_44,M_IDNS_H_45_49,M_IDNS_H_50ov,M_IDNS_H_NS,M_IDNS_H_Tot
201011001,0,3,6,0,8,6,3,8,0,37,9,3,3,0,7,13,0,25,0,61,10,18,11,13,77,96,42,39,0,304,0,0,3,3,4,0,0,0,0,9,13,24,26,20,114,217,52,124,0,592,8,0,9,3,23,37,15,24,0,129,5,32,22,12,23,22,7,3,0,136,14,69,10,10,21,11,0,8,3,137,0,9,10,7,20,16,10,25,0,95,0,0,0,0,3,6,0,4,0,15,0,0,0,3,3,12,0,4,0,28,0,0,0,0,3,10,0,6,0,14,0,3,3,10,19,10,4,22,0,72,8,15,7,0,6,3,0,0,0,33,6,0,0,0,10,13,3,4,0,39,4,10,4,5,12,5,4,15,0,55,6,28,16,24,42,28,10,15,0,165,4,10,0,0,5,5,0,4,3,30,0,12,5,6,18,25,10,19,0,90,4,12,0,0,24,22,5,12,15,96
201011002,3,3,0,0,5,0,3,5,0,19,3,0,0,0,0,4,0,4,0,14,3,23,10,11,43,42,15,15,3,164,3,0,0,0,0,8,5,0,0,20,6,10,16,12,73,159,32,66,0,375,4,9,3,3,45,29,16,11,5,126,35,158,108,54,184,132,52,67,5,804,73,277,132,50,90,73,26,51,7,782,8,13,11,6,53,20,9,13,0,137,13,7,7,3,27,20,7,8,0,97,8,10,8,11,48,66,23,54,0,228,7,8,12,4,48,57,22,62,0,214,14,29,34,20,140,175,49,101,0,561,4,11,11,8,58,17,0,9,0,130,46,44,39,38,292,281,57,91,0,893,14,75,26,38,160,132,43,88,0,580,65,104,155,174,324,388,113,185,13,1520,8,20,8,3,15,9,4,8,0,73,13,22,20,11,53,52,9,15,0,196,12,27,15,9,46,42,10,20,94,278
201011005,0,0,0,0,0,6,0,7,0,24,0,0,0,0,0,3,0,3,0,4,0,0,0,0,4,0,4,5,0,15,0,0,0,0,3,0,0,0,0,3,0,5,7,9,21,49,17,24,4,126,0,0,0,0,0,0,0,0,0,0,0,15,7,7,8,0,0,6,0,43,5,9,0,0,4,0,0,4,0,28,0,0,4,0,3,5,0,5,0,15,7,0,7,0,15,17,44,4,0,98,0,0,0,0,7,6,0,3,0,22,0,0,0,0,0,0,0,0,0,3,3,18,21,11,24,141,18,37,3,280,5,5,8,9,30,11,3,0,0,69,6,0,0,0,12,15,0,3,0,47,8,19,22,12,117,79,36,44,3,353,13,10,14,12,27,23,10,3,0,97,0,0,0,0,0,3,0,0,0,6,3,3,0,0,3,0,0,4,0,13,3,0,3,5,4,10,0,6,12,39
201011006,4,7,3,3,11,16,6,10,0,65,4,0,0,0,0,7,3,8,0,36,8,15,13,15,130,126,36,56,3,402,0,0,0,0,3,10,7,7,0,29,15,17,28,24,118,283,81,148,13,737,5,12,4,3,29,45,18,32,4,154,15,68,41,29,84,76,19,31,0,354,3,43,17,3,10,10,4,9,0,100,10,20,25,18,34,44,24,77,4,255,0,4,0,3,3,6,0,0,0,20,0,0,0,0,3,0,0,0,0,6,0,0,0,0,4,4,3,0,0,17,3,0,0,3,12,26,6,8,0,59,0,11,4,5,14,22,10,8,4,70,8,6,4,0,14,20,12,17,0,77,0,5,0,5,4,7,0,3,0,39,3,20,13,11,23,13,4,4,0,82,0,9,0,0,0,4,0,0,0,16,8,11,18,3,42,58,21,45,0,201,5,14,13,0,31,46,14,32,13,167
201011007,0,3,4,4,3,0,0,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,15,0,0,0,0,0,3,0,0,0,5,3,7,8,5,29,49,13,27,0,133,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,5,3,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,9,11,9,0,35,0,6,0,0,0,6,4,0,0,18,0,0,0,3,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,6,0,0,0,0,16,0,0,0,0,0,0,0,0,7,9
201011008,8,7,6,8,42,29,7,23,0,132,3,0,8,0,9,11,4,18,0,46,60,62,66,61,445,583,231,284,7,1810,9,5,4,9,77,98,25,58,0,284,28,46,44,33,202,382,117,236,19,1106,6,11,8,4,46,54,26,23,0,182,26,112,67,35,135,75,26,52,8,538,11,74,22,17,24,11,0,10,4,172,22,31,31,28,86,120,55,143,8,522,3,0,4,3,41,24,0,3,0,87,0,5,0,0,6,11,0,4,0,32,0,0,4,0,5,10,4,12,0,35,3,12,6,0,27,42,17,19,0,123,6,22,22,13,21,21,4,12,5,131,18,3,4,7,103,73,17,21,0,246,8,36,21,13,50,43,23,41,0,227,18,20,23,18,51,54,14,19,4,212,9,30,11,16,24,32,8,30,3,165,7,17,10,7,62,73,18,45,3,248,18,22,13,12,72,89,26,57,33,339
201011481,0,0,8,4,0,3,0,0,0,14,3,3,0,0,0,0,0,0,0,3,0,4,4,3,12,53,9,15,4,109,0,0,0,0,0,0,3,8,0,9,9,10,10,11,34,75,19,58,5,243,0,4,6,3,7,7,3,3,0,28,9,38,17,7,23,27,6,21,0,152,13,35,15,5,14,12,6,5,0,97,5,5,3,4,6,18,7,10,0,59,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,5,0,10,0,0,0,0,0,0,0,0,0,4,4,4,4,4,13,14,3,13,0,55,0,5,3,0,0,3,0,6,0,27,0,9,0,0,15,5,0,0,0,28,0,13,7,6,15,15,8,8,0,70,3,19,30,18,35,11,7,10,0,128,3,6,5,3,11,9,0,6,0,44,0,3,3,4,19,15,4,12,3,67,6,4,0,3,9,15,3,6,8,55
201011482,0,3,0,0,0,4,0,3,0,16,0,0,0,0,0,0,0,0,0,0,4,3,4,8,36,31,8,16,0,106,0,0,0,0,6,3,0,0,0,19,0,13,14,7,48,84,29,40,3,239,0,0,0,0,3,7,0,3,0,13,4,22,13,3,0,16,9,5,0,91,8,34,13,6,9,5,0,8,4,85,13,4,12,3,25,91,31,23,4,202,0,0,0,0,18,4,3,8,0,33,0,0,0,0,0,4,0,5,0,14,0,0,0,0,0,0,0,0,0,10,4,13,10,4,8,33,3,15,0,99,0,7,6,3,4,3,0,3,0,35,0,0,0,0,8,7,5,3,0,31,7,9,4,0,9,5,3,8,0,59,0,6,10,4,5,3,0,3,4,43,0,11,6,0,6,6,0,0,0,24,0,3,9,7,14,8,0,8,0,44,0,3,0,0,3,6,0,5,7,29
201011483,0,0,0,0,0,6,0,0,0,6,15,5,3,0,15,26,12,111,0,191,4,14,10,11,31,35,13,17,0,131,0,0,0,0,0,3,0,0,0,4,0,6,9,7,42,77,25,42,0,227,0,0,0,0,7,9,3,7,0,28,0,12,15,7,28,13,3,7,0,86,16,48,20,8,21,14,0,6,0,140,0,5,0,0,0,7,0,4,0,26,0,0,0,0,0,0,0,3,0,7,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,3,7,9,13,15,7,5,0,52,4,3,9,3,3,11,0,4,0,34,0,4,0,6,7,5,0,0,0,12,6,8,9,14,43,33,10,21,0,147,3,15,17,11,17,7,4,6,0,84,14,20,10,14,14,24,0,4,0,106,4,4,0,4,18,12,3,12,0,52,0,7,4,4,8,12,0,0,10,49
201011484,3,0,3,0,6,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,6,5,19,10,4,8,0,59,0,0,0,0,0,0,0,0,0,5,4,14,7,13,44,86,10,45,6,231,0,0,12,4,26,10,4,3,0,65,9,57,38,36,49,46,12,17,0,260,22,130,26,14,28,16,4,7,3,241,3,19,5,3,4,8,3,8,0,51,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,3,4,0,10,8,0,10,0,42,0,3,10,0,0,3,3,0,0,24,0,0,0,0,17,10,8,4,0,44,4,18,11,7,26,25,12,21,3,128,4,21,13,12,28,19,4,10,0,116,0,8,0,0,0,0,0,0,0,17,0,8,6,6,32,22,3,11,0,88,0,3,8,4,10,9,0,8,17,65
