POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
201011001,21,1497,0,1519,0,502,6,507,0,110,0,114,30,2105,3,2142,9,744,0,761,13,1100,0,1109,4,125,0,123,23,1970,4,1999,35,2242,3,2277,11,1602,0,1618,3,235,0,237,55,4078,9,4135
201011002,65,4726,11,4807,21,1887,12,1921,11,467,0,481,94,7085,24,7209,74,5315,3,5393,63,6491,12,6562,13,1075,6,1093,150,12878,24,13048,141,10046,20,10199,85,8378,23,8481,26,1543,8,1575,243,19967,52,20261
201011005,12,934,0,948,4,252,0,251,0,77,3,82,17,1256,3,1284,11,770,0,785,15,651,0,665,5,141,0,142,31,1567,0,1595,29,1707,0,1731,19,906,0,920,4,215,6,227,46,2825,6,2874
201011006,39,2117,3,2157,8,590,0,602,5,130,4,138,46,2839,7,2897,15,660,4,680,5,907,3,914,4,124,0,124,25,1694,6,1721,53,2782,11,2841,17,1499,3,1517,4,257,4,265,70,4532,18,4617
201011007,3,237,0,236,0,65,0,65,0,19,0,19,3,324,0,325,4,70,0,70,0,117,0,117,0,10,0,10,4,191,0,196,3,303,0,304,0,186,0,186,0,32,0,32,3,516,0,520
201011008,60,5017,23,5099,12,1163,4,1175,15,336,4,358,85,6511,35,6625,13,1711,6,1734,25,1910,0,1942,0,314,3,318,40,3938,6,3993,81,6722,30,6826,32,3075,8,3113,17,647,10,673,129,10448,40,10619
201011481,13,746,3,764,3,345,0,350,4,84,0,87,22,1178,3,1204,9,510,3,520,11,848,0,861,3,118,0,120,19,1477,3,1503,19,1261,3,1283,15,1196,3,1213,4,206,0,211,38,2662,10,2712
201011482,6,799,0,805,5,317,0,321,3,69,0,75,13,1186,3,1203,0,428,0,428,3,628,0,642,0,89,0,95,7,1150,0,1162,11,1226,0,1234,10,942,3,964,3,164,0,165,25,2333,5,2365
201011483,5,926,0,929,0,380,0,379,0,89,0,91,4,1392,6,1403,5,501,0,507,0,746,3,752,6,128,4,137,13,1372,7,1388,11,1425,0,1431,7,1126,3,1133,4,222,4,227,19,2765,4,2793
201011484,10,790,5,803,6,566,3,576,3,95,0,92,14,1446,3,1474,9,569,0,583,7,957,0,967,3,119,0,118,26,1647,9,1678,18,1366,4,1388,13,1523,10,1546,6,208,0,215,42,3092,15,3148
