POW_SA2_CODE_2021,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20mo_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20mo_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20mo_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20mo_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20mo_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20mo_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20mo_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20mo_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20mo_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20mo_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20mo_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20mo_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20mo_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20mo_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20mo_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20mo_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20mo_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20mo_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20mo_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20mo_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20mo_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20mo_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20mo_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20mo_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20mo_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20mo_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20mo_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20mo_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20mo_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20mo_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20mo_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20mo_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20mo_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20mo_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20mo_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20mo_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20mo_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20mo_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20mo_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20mo_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
201011001,3,4,0,0,3,0,0,0,0,0,5,20,13,0,36,0,0,0,0,0,25,63,10,0,103,5,5,3,0,7,0,4,5,0,8,0,9,0,0,6,5,7,0,0,13,0,4,0,0,3,9,9,0,0,18,5,0,0,0,3,16,12,0,0,28,7,0,0,0,11,0,0,0,0,0,0,4,0,0,4,17,18,0,0,34,0,4,0,0,4,5,10,0,0,19,0,9,3,0,18,97,185,31,0,319,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,50,17,0,0,62,0,0,0,0,0,11,0,0,0,11,6,5,0,0,13,28,5,0,0,30,0,0,0,0,0,5,0,0,0,5,4,0,0,0,6,26,0,0,0,27,10,3,0,0,21,0,0,0,0,0,13,0,0,0,13,51,4,0,0,53,7,5,0,0,9,27,3,0,0,30
201011002,3,0,0,0,6,0,0,0,0,4,9,11,4,0,22,0,0,0,0,3,19,45,6,0,68,0,6,0,0,7,8,106,15,0,135,3,90,33,0,126,11,5,0,0,12,0,0,3,0,7,23,42,11,0,69,15,32,20,0,66,52,120,32,0,199,5,6,3,0,13,0,5,0,0,3,11,14,4,0,22,53,96,25,0,168,5,6,0,0,9,8,27,0,0,41,12,13,0,0,22,237,636,150,9,1018,4,0,0,0,4,0,0,0,0,0,6,3,0,0,11,3,0,0,0,3,31,13,3,0,49,0,0,0,0,0,39,26,0,0,69,7,26,4,0,39,15,0,0,0,15,3,0,0,0,3,3,0,0,0,3,11,0,3,0,11,59,19,6,0,92,13,4,0,0,19,0,0,0,0,4,28,5,0,0,36,179,69,4,0,252,21,3,0,0,27,66,29,0,0,93
201011005,5,4,0,0,4,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,9,30,0,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,0,0,5,3,0,0,0,3,0,3,0,0,6,0,0,0,0,0,16,11,0,0,27,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,3,0,0,0,3,0,0,0,0,0,0,4,0,0,6,6,0,0,3,12,58,69,0,3,138,8,0,0,0,3,3,0,0,0,4,9,3,0,0,11,0,0,0,0,0,13,11,0,0,18,0,0,0,0,0,6,0,0,0,6,10,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,33,8,0,0,0,11,6,0,0,0,6,7,3,0,0,12,13,0,0,0,12,0,0,0,0,0,13,0,0,0,15
201011006,0,5,0,0,5,6,4,0,0,11,6,40,5,0,52,0,4,0,0,6,32,68,11,0,120,0,20,4,0,18,7,24,0,0,30,4,10,5,0,19,4,17,3,0,23,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,6,8,0,0,17,3,8,0,0,16,0,0,6,0,6,0,4,0,0,8,0,4,0,0,6,0,3,0,0,4,5,23,0,0,34,11,7,9,0,26,95,248,50,0,394,3,0,0,0,3,0,0,0,0,0,21,5,0,0,28,0,5,0,0,5,46,21,0,0,68,3,8,0,0,10,7,5,0,0,13,7,3,0,0,9,16,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,11,3,0,0,17,0,0,0,0,0,8,0,0,0,13,23,3,0,0,30,4,0,0,0,4,43,7,0,0,55
201011007,4,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,30,43,4,0,83,8,0,0,0,9,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,24,8,0,0,30,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,14,0,0,0,14,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,4,0,0,0,4,18,0,0,0,18
201011008,0,3,0,0,7,0,4,0,0,3,11,52,21,0,83,0,0,0,0,3,35,101,18,0,159,5,18,8,0,28,9,28,4,0,40,4,15,0,0,22,10,24,16,0,50,0,0,0,0,4,0,5,0,0,9,0,4,0,0,4,7,19,7,0,32,4,8,3,0,15,0,0,0,0,5,5,0,6,0,10,4,9,0,0,11,6,12,7,0,17,9,18,5,0,28,9,10,5,0,27,101,352,98,0,554,3,4,0,0,8,0,0,0,0,0,24,8,0,0,29,0,0,0,0,0,69,19,0,0,86,3,0,0,0,8,16,10,0,0,21,15,6,0,0,21,26,5,0,0,34,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,20,0,3,0,24,27,9,0,0,36,0,0,0,0,0,12,0,0,0,17,30,0,0,0,33,9,5,0,0,14,31,12,0,0,44
201011481,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,4,0,0,3,11,45,3,0,57,4,8,0,0,12,3,12,7,0,26,0,11,0,0,9,4,4,0,0,11,0,0,0,0,6,0,3,0,0,3,0,0,0,0,0,10,13,0,0,19,0,0,3,0,4,0,0,0,0,0,0,3,0,0,4,0,4,7,0,13,3,0,4,0,3,7,8,0,0,17,3,0,0,0,7,67,109,19,0,193,4,0,0,0,4,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,29,14,0,0,40,0,0,0,0,0,10,3,0,0,14,12,0,0,0,11,6,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,29,3,0,0,28,9,3,0,0,12,0,0,0,0,0,16,0,0,0,17,20,3,0,0,21,8,0,0,0,11,24,4,0,0,33
201011482,0,0,0,0,4,0,0,0,0,0,6,3,0,0,13,0,0,0,0,0,31,43,0,0,76,0,0,0,0,3,4,7,0,0,8,9,3,0,0,8,8,3,0,0,7,6,0,0,0,5,6,0,0,0,7,3,0,0,0,3,27,25,0,0,48,3,6,0,0,15,0,0,0,0,0,3,0,0,0,3,12,11,0,0,22,0,4,0,0,8,0,3,0,0,9,6,0,0,0,5,114,132,6,0,249,4,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,42,16,0,0,60,0,0,0,0,0,11,4,0,0,8,3,7,0,0,12,8,0,0,0,9,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,43,12,0,0,55,17,4,0,0,18,0,0,0,0,0,9,0,0,0,11,30,0,0,0,33,9,4,0,0,9,28,5,0,0,40
201011483,0,0,0,0,0,0,0,0,0,3,3,14,4,0,24,0,0,0,0,0,17,33,0,0,42,0,4,0,0,4,4,11,4,0,21,6,8,3,0,16,4,5,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,5,0,0,14,9,0,6,0,9,0,0,0,0,0,0,0,0,0,0,7,5,4,0,14,0,0,0,0,3,5,10,0,0,18,3,0,0,0,3,59,98,15,0,176,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,21,13,0,0,35,4,0,0,0,0,10,4,0,0,14,6,4,3,0,15,8,0,0,0,8,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,27,0,0,0,31,20,6,0,0,23,0,0,0,0,0,15,0,0,0,17,17,5,0,0,20,13,0,0,0,11,38,10,0,0,45
201011484,0,0,0,0,0,0,0,0,0,0,5,3,0,0,12,0,0,0,0,0,19,26,7,0,42,0,0,0,0,0,0,11,5,0,15,0,3,0,0,7,0,3,0,0,9,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,7,6,0,0,15,0,6,0,0,6,0,0,0,0,0,0,3,0,0,6,3,8,0,0,11,0,0,0,0,0,0,5,0,0,7,4,0,0,0,8,46,85,15,0,152,6,0,0,0,6,0,0,0,0,0,10,3,0,0,11,0,0,0,0,0,29,6,0,0,31,0,0,0,0,0,8,0,0,0,8,6,5,0,0,10,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,16,16,0,0,0,24,0,0,0,0,0,7,0,0,0,7,12,0,0,0,12,4,0,0,0,8,15,9,0,0,25
